path,width,height,mode,bytes,sha256
art/tactical-sprites/bb-style-v4/afei_figure_C06.png,114,142,RGBA,26587,f93b09b336105a11ddad49cd200fc68993de28eaa7a8e6461b698810315765d3
art/tactical-sprites/bb-style-v4/C04-cell.png,724,724,RGBA,387461,141b58fdc69dd547993dfefbbb1bfe6300d79d6ce81f01fca510a70db780370e
art/tactical-sprites/bb-style-v4/C04-master.png,724,724,RGBA,387461,141b58fdc69dd547993dfefbbb1bfe6300d79d6ce81f01fca510a70db780370e
art/tactical-sprites/bb-style-v4/C05-cell.png,724,724,RGBA,427076,d1ba1770e85f358f315afa985aa08a76a49043138549a9c2c0fdb3558be46a36
art/tactical-sprites/bb-style-v4/C05-master.png,724,724,RGBA,427076,d1ba1770e85f358f315afa985aa08a76a49043138549a9c2c0fdb3558be46a36
art/tactical-sprites/bb-style-v4/C06-cell.png,724,724,RGBA,451474,7778b631b804976577bda3cad54a6593829612f92405605cf2425d16544c4f82
art/tactical-sprites/bb-style-v4/C06-master.png,724,724,RGBA,451474,7778b631b804976577bda3cad54a6593829612f92405605cf2425d16544c4f82
art/tactical-sprites/bb-style-v4/source-sheet.png,2172,724,RGBA,1259227,2895347edd74562d3efccdfcf5efbeef47c2564f2819785391c5e2a3ed62bffb
art/tactical-sprites/coherent-v2/afei_figure_C01.png,114,142,RGBA,26942,c9bd89f0fac48cd1cafa2c6a8a9264801e7ce6f67334e7203c0c940f5bfa3a7e
art/tactical-sprites/coherent-v2/afei_figure_C02.png,114,142,RGBA,27948,c3278f9db20840f473f843e3a17ad33a72759747b4d0c1b8327cf5f4d52ccf15
art/tactical-sprites/coherent-v2/afei_figure_C03.png,114,142,RGBA,25720,8bdc06fab5d307cf5eb21a0fab9888f5c5c674f9c3150249964953c00b05c2e5
art/tactical-sprites/coherent-v2/afei_figure_C04.png,114,142,RGBA,27335,c5bc16c6758fc527d74b8a91f0c37ea4d412ecb3ee335fa0a52b5bf010f37534
art/tactical-sprites/coherent-v2/afei_figure_C05.png,114,142,RGBA,29033,8c4fcd45bba047900c16923362ea85ccd5cfca1353173c676d8d33229e8d45a0
art/tactical-sprites/coherent-v2/afei_figure_C06.png,114,142,RGBA,29259,0326fb508d8a13c4eef61f53769d27bad53023002acca117a9a3f2f71ad3c864
art/tactical-sprites/coherent-v2/source-sheet.png,1536,1024,RGBA,2435857,f2099fa4e0e93c8e5b3410b17f6388e1c1783372c704fb14ce61dbc19b85bbc8
art/tactical-sprites/icons/afei_body_C01.png,108,76,RGBA,16607,f53744af0b3554a50625323ddfc8ebeac0f1ed21563fa4f2848c180f080892c4
art/tactical-sprites/icons/afei_body_C01_dead.png,108,76,RGBA,10497,d04674678a838170c6692deb557fe941416014b995582b66b2652d6e0e6e14df
art/tactical-sprites/icons/afei_body_C02.png,108,76,RGBA,15973,e906332e74e0ecbc869f9f70b9bfa1228d96e69c0c3ff0b00837800c5e46ae1f
art/tactical-sprites/icons/afei_body_C02_dead.png,108,76,RGBA,10340,cf11e1113478a122b8e023b5f170e591abf50208c9ad4e2f8d98a8dfb5b2de05
art/tactical-sprites/icons/afei_body_C03.png,108,76,RGBA,16662,cb0db107a97df268a6129b71b8983304b6cb67f2ffca76940714f15207ef3b54
